id,name,sku,publish_status,category,brand,draft_short_description
wp-prod-29790,ÁO ALPINESTAR RACEDAY LIGHT PARKA,AL-RACEDAY,DRAFT,Áo Bảo Hộ Vải,ALPINESTARS,"ÁO ALPINESTAR RACEDAY LIGHT PARKA là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu ALPINESTARS. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
wp-prod-29819,ÁO GIÁP BẢO HỘ ALPINESTAR T-SPS SUPERAIR,T-SPS,PUBLISHED,Áo Bảo Hộ Vải,ALPINESTARS,"ÁO GIÁP BẢO HỘ ALPINESTAR T-SPS SUPERAIR là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu ALPINESTARS. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
wp-prod-30051,ÁO FURYGAN RYOKO,BB-AOBAO-030051,DRAFT,Áo Bảo Hộ Vải,FURYGAN,"ÁO FURYGAN RYOKO là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu FURYGAN. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
wp-prod-30100,ÁO Furygan Leo,FU-LEO,DRAFT,Áo Bảo Hộ Vải,FURYGAN,"ÁO Furygan Leo là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu FURYGAN. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
wp-prod-29911,ÁO Furygan TX Furyo Vented,FU-TX,DRAFT,Áo Bảo Hộ Vải,FURYGAN,"ÁO Furygan TX Furyo Vented là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu FURYGAN. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
wp-prod-30091,ÁO GIÁP BẢO HỘ FURYGAN TECH 3EN1,FU-3IN1,DRAFT,Áo Bảo Hộ Vải,FURYGAN,"ÁO GIÁP BẢO HỘ FURYGAN TECH 3EN1 là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu FURYGAN. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
wp-prod-30038,Áo Furygan London Evo 2,FU-LONDON,DRAFT,Áo Bảo Hộ Vải,FURYGAN,"Áo Furygan London Evo 2 là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu FURYGAN. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
wp-prod-40316,ÁO BẢO HỘ HEVIK NEPTUNE,BB-AOBAO-040316,DRAFT,Áo Bảo Hộ Vải,HEVIK,"ÁO BẢO HỘ HEVIK NEPTUNE là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu HEVIK. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
wp-prod-31628,ÁO BẢO HỘ KOMINE JK157,JK157,DRAFT,Áo Bảo Hộ Vải,KOMINE,"ÁO BẢO HỘ KOMINE JK157 là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu KOMINE. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
wp-prod-37733,ÁO KHOÁC BẢO HỘ KOMINE JK-177 DÀNH CHO NAM/NỮ,BB-AOBAO-037733,DRAFT,Áo Bảo Hộ Vải,KOMINE,"ÁO KHOÁC BẢO HỘ KOMINE JK-177 DÀNH CHO NAM/NỮ là sản phẩm Áo Bảo Hộ Vải chính hãng từ thương hiệu KOMINE. Mua tại BigBike Vietnam với chất lượng đảm bảo, bảo hành chính hãng."
